tag,label,section,source_rule,clinical_reviewer,qbc_reviewer,decision,review_date,notes
D024,(術後) 新輔助性治療法之療效,術後病理,※若收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]且治療療程「TM02」為[1.治癒性手術]時，必填 0：Non-pCR 1：pCR,,,pending,,
D025,(術後) 最初診斷日期,術後病理,※若收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填 ※收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]無需填寫 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
D026,(術後) 最初診斷院所,術後病理,※若收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填 ※收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]無需填寫 1：本院 2：他院,,,pending,,
D027,(術後) 乳房手術,術後病理,0：乳房部分切除手術 (BCS) 1：乳房全切除術 (Mastectomy),,,pending,,
D028,(術後) 手術邊緣,術後病理,0：free 1：involved with DCIS 2：involved with invasive carcinoma,,,pending,,
D029,(術後) 腋窩手術,術後病理,0：Nil 1：SLNB 2：SLNB → ALND 3：direct ALND 4：TLND,,,pending,,
D030,(術後) 組織學分類,術後病理,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,,,pending,,
D031,(術後) 腫瘤組織分級,術後病理,X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),,,pending,,
D032,(術後) 病理期別T,術後病理,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,,pending,,
D033,(術後) 病理期別N,術後病理,N0：沒有淋巴結轉移 N1mi：微小轉移(0.2-2mm) N1：同側腋下淋巴結1~3顆有癌細胞轉移 N2：同側腋下淋巴結4~9顆有癌細胞轉移 N3：同側腋下淋巴結大於等於10顆有癌細胞轉移 Nx：未知,,,pending,,
D034,(術後) 病理期別M,術後病理,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,,pending,,
D035,(術後) 癌症病理分期：TNM 計算結果,術後病理,"預設為空白，由系統自動計算「D032」、「D033」、「D034」三欄英文代號值合併計算結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D032」填入[T4]，「D033」填入[N0]，「D034」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D032」填入[T4]，「D033」填入[Nx]，「D034」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0：['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']",,,pending,,
D036,(術後) 遠端轉移部位,術後病理,"※「D035」滿足[StageⅣ]才需填寫。 填入代碼，可複選 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：遠端淋巴 2：皮膚 3：骨 4：肝 5：肺 6：腦 7：骨髓 8：胸膜 9：腹膜 10：腎上腺 11：對側腋下淋巴 12：其他",,,pending,,
D037,(術後) 遠端轉移部位：其他,術後病理,※「D036」為[12：其他]，此欄位為必填。 內容自訂，文字格式,,,pending,,
D038,(術後) 哨兵淋巴結,術後病理,X：未檢驗 0：陰性 1：陽性,,,pending,,
D039,(術後) 哨兵淋巴結：陽性顆數,術後病理,※「D038」為[1.陽性]時，必填。 填入範圍值：1-99,,,pending,,
D040,(術後) 哨兵淋巴結：哨兵淋巴結顆數,術後病理,※「D038」為[0：陰性]或[1：陽性]時，必填。 填入範圍值：1-99,,,pending,,
D041,(術後) 腋下淋巴結,術後病理,X：未檢驗 0：陰性 1：陽性,,,pending,,
D042,(術後) 腋下淋巴結：陽性顆數,術後病理,※「D041」為[1：陽性]時，必填。 填入範圍值：1-99,,,pending,,
D043,(術後) 腋下淋巴結：腋下淋巴結顆數,術後病理,※「D041」為[0.陰性]或[1.陽性]時，必填。 填入範圍值：1-99,,,pending,,
D044,(術後) 淋巴結陽性數量,術後病理,※「D038」、「D041」任一項滿足[1：陽性]，需填寫此欄位。 0：無 1：有,,,pending,,
D045,(術後) 淋巴結陽性數量：Micro-Metastasis 顆數,術後病理,※「D044」為[1：有]時，「D045」與「D046」至少填一項。 填入範圍值：0-99,,,pending,,
D046,(術後) 淋巴結陽性數量：Macro-Metastasis 顆數,術後病理,※「D044」為「1：有]」時，「D045」與「D046」至少填一項。 填入範圍值：0-99,,,pending,,
D047,(術後) 手術時顯微鏡下腫瘤大小,術後病理,填入範圍值：0.00-99.99,,,pending,,
D048,(術後) ER,術後病理,X：未檢驗 0：陰性 1：陽性,,,pending,,
D049,(術後) ER 數值,術後病理,※(術後) ER「D048」為[1：陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D050,(術後) PR,術後病理,X：未檢驗 0：陰性 1：陽性,,,pending,,
D051,(術後) PR 數值,術後病理,※「D050」為[1：陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D052,(術後) HER2,術後病理,X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+),,,pending,,
D053,(術後) HER2：FISH,術後病理,※「D052」為[2：IHC 2+(equivocal or score 2+)]時，才需填寫。 0：negative 1：positive,,,pending,,
D054,(術後) Ki-67,術後病理,0：未檢驗 1：有檢驗,,,pending,,
D055,(術後) Ki-67 數值,術後病理,※ 「D054」為[1：有檢驗]時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D056,(術後) BRCA 1/2,術後病理,X：未檢驗 0：無突變 1：有突變,,,pending,,
D057,(術後) PD-L1,術後病理,X：未檢驗 0：陰性 1：陽性,,,pending,,
D058,(復發) 診斷日期,復發／de novo mBC,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,,pending,,
D059,(復發) 診斷院所,復發／de novo mBC,1：本院 2：他院,,,pending,,
D060,(復發) 臨床期別 T,復發／de novo mBC,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,,pending,,
