tag,label,section,required_marker,always_required,source_format,max_length,data_type,allowed_values,multi_select,minimum,maximum,required_when,rule_ids,source_rule
D013,(新輔助) 術前腋下淋巴檢驗：檢驗結果,新輔助－術前診斷,△,False,X(1),1,code,"0,1",False,,,[],QBC-D013-METHOD,※「D012」有值時，才需填寫。 0：陰性 1：陽性
D014,(新輔助) ER,新輔助－術前診斷,△,False,X(1),1,code,"X,0,1",False,,,[],,X：未檢驗 0：陰性 1：陽性
D015,(新輔助) ER 數值,新輔助－術前診斷,△,False,X(3),3,integer,,False,1,100,[],QBC-D015-ER,※「D014」為[1:陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D016,(新輔助) PR,新輔助－術前診斷,△,False,X(1),1,code,"X,0,1",False,,,[],,X：未檢驗 0：陰性 1：陽性
D017,(新輔助) PR 數值,新輔助－術前診斷,△,False,X(3),3,integer,,False,1,100,[],QBC-D017-PR,※「D016」為[1:陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D018,(新輔助) HER2,新輔助－術前診斷,△,False,X(1),1,code,"X,0,1,2,3",False,,,[],,X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+)
D019,(新輔助) HER2 FISH,新輔助－術前診斷,,False,X(1),1,code,"0,1",False,,,[],QBC-D019-HER2,※「D018」為[2：IHC 2+(equivocal or score 2+)]時，才需填寫。 0：negative 1：positive
D020,(新輔助) Ki-67,新輔助－術前診斷,△,False,X(1),1,code,"0,1",False,,,[],,0：未檢驗 1：有檢驗
D021,(新輔助) Ki-67 數值,新輔助－術前診斷,△,False,X(3),3,integer,,False,1,100,[],QBC-D021-KI67,※「D020」為[1：有檢驗]時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D022,(新輔助) BRCA 1/2,新輔助－術前診斷,△,False,X(1),1,code,"X,0,1",False,,,[],,X：未檢驗 0：無突變 1：有突變
D023,(新輔助) PD-L1,新輔助－術前診斷,,False,X(1),1,code,"X,0,1",False,,,[],,X：未檢驗 0：陰性 1：陽性
D024,(術後) 新輔助性治療法之療效,術後病理,△,False,X(1),1,code,"0,1",False,,,[],QBC-D024-NEOADJUVANT-SURGERY,※若收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]且治療療程「TM02」為[1.治癒性手術]時，必填 0：Non-pCR 1：pCR
D025,(術後) 最初診斷日期,術後病理,△,False,X(8),8,date,,False,,,[],QBC-D025-DIAGTYPE,※若收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填 ※收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]無需填寫 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206
D026,(術後) 最初診斷院所,術後病理,△,False,X(1),1,code,"1,2",False,,,[],QBC-D026-DIAGTYPE,※若收案類別「DIAG_TYPE」為[1:新診斷個案-直接治癒性手術]時，必填 ※收案類別「DIAG_TYPE」為[2:新診斷個案-新輔助性治療法]無需填寫 1：本院 2：他院
D027,(術後) 乳房手術,術後病理,△,False,X(1),1,code,"0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,0：乳房部分切除手術 (BCS) 1：乳房全切除術 (Mastectomy)
D028,(術後) 手術邊緣,術後病理,△,False,X(1),1,code,"0,1,2",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,0：free 1：involved with DCIS 2：involved with invasive carcinoma
D029,(術後) 腋窩手術,術後病理,△,False,X(1),1,code,"0,1,2,3,4",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,0：Nil 1：SLNB 2：SLNB → ALND 3：direct ALND 4：TLND
D030,(術後) 組織學分類,術後病理,△,False,X(1),1,code,"0,1,2,3,4,5,6,7,8",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others
D031,(術後) 腫瘤組織分級,術後病理,△,False,X(1),1,code,"X,1,2,3",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性)
D032,(術後) 病理期別T,術後病理,△,False,X(5),5,code,"T0,Tis,T1,T2,T3,T4,Tx",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知
D033,(術後) 病理期別N,術後病理,△,False,X(5),5,code,"N0,N1mi,N1,N2,N3,Nx",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,N0：沒有淋巴結轉移 N1mi：微小轉移(0.2-2mm) N1：同側腋下淋巴結1~3顆有癌細胞轉移 N2：同側腋下淋巴結4~9顆有癌細胞轉移 N3：同側腋下淋巴結大於等於10顆有癌細胞轉移 Nx：未知
D034,(術後) 病理期別M,術後病理,△,False,X(5),5,code,"M0,M1,Mx",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知
D035,(術後) 癌症病理分期：TNM 計算結果,術後病理,△,False,X(40),40,string,,False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']","QBC-TM02-SURGERY-POSTOP-REQUIRED,QBC-D035-TNM","預設為空白，由系統自動計算「D032」、「D033」、「D034」三欄英文代號值合併計算結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D032」填入[T4]，「D033」填入[N0]，「D034」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D032」填入[T4]，「D033」填入[Nx]，「D034」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0：['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']"
D036,(術後) 遠端轉移部位,術後病理,△,False,X(30),30,code-list,"1,2,3,4,5,6,7,8,9,10,11,12",True,,,['TM02=1 AND D035=StageⅣ'],QBC-D036-STAGE4,"※「D035」滿足[StageⅣ]才需填寫。 填入代碼，可複選 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：遠端淋巴 2：皮膚 3：骨 4：肝 5：肺 6：腦 7：骨髓 8：胸膜 9：腹膜 10：腎上腺 11：對側腋下淋巴 12：其他"
D037,(術後) 遠端轉移部位：其他,術後病理,△,False,X(200),200,string,,False,,,['TM02=1 AND D036 CONTAINS 12'],QBC-D037-OTHER,※「D036」為[12：其他]，此欄位為必填。 內容自訂，文字格式
D038,(術後) 哨兵淋巴結,術後病理,△,False,X(1),1,code,"X,0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：未檢驗 0：陰性 1：陽性
D039,(術後) 哨兵淋巴結：陽性顆數,術後病理,△,False,X(2),2,integer,,False,1,99,['TM02=1 AND D038=1'],QBC-D039-SENTINEL,※「D038」為[1.陽性]時，必填。 填入範圍值：1-99
