cancer_group,source_field,source_code_system,source_value_set,source_code,source_display,target_system,target_version,target_code,relationship,review_status,reviewer,evidence_reference,decision_date,notes
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,801,KPS=80，ECOG PS=1：可以稍微正常活動，已經有一些疾病的症狀。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,809,KPS=80（ECOG 未評估）：可以稍微正常活動，已經有一些疾病的症狀。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,900,KPS=90，ECOG PS=0：可以正常活動，有一些疾病症狀。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,901,KPS=90，ECOG PS=1：可以正常活動，有一些疾病症狀。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,909,KPS=90（ECOG 未評估）：可以正常活動，有一些疾病症狀。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,988,不適用：首次療程已在他院執行，無法取得治療前之生活功能狀態評估值。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,999,病歷未記載或不詳。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,0,申報醫院診斷，但未於申報醫院接受首次療程。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,1,申報醫院診斷，並於申報醫院接受全部或部份的首次療程。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,2,他院診斷，於申報醫院接受全部或部份的首次療程。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,3,他院診斷，未於申報醫院接受任何首次療程；因復發或持續癌症問題至申報醫院就診。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,5,屍體解剖時才診斷為癌症。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,7,僅有病理檢查報告，個案未因診斷或治療癌症而到申報醫院（不需申報）。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,8,僅由死亡診斷證明書診斷為癌症（不需申報）。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASS95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-class95,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-class95-vs,9,不詳，病歷上未記載足以決定個案分類的資訊。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFDIAG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classofdiag,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classofdiag-vs,1,於申報醫院診斷。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
